Name,Position,Draft Pick,Win Share Per,Year
Hakeem Olajuwon,C,1,.177,1984
Sam Bowie,C,2,.091,1984
Michael Jordan,SG,3,.250,1984
Sam Perkins,PF,4,.138,1984
Charles Barkley,PF,5,.216,1984
Melvin Turpin,C,6,.096,1984
Alvin Robertson,SG,7,.101,1984
Lancaster Gordon,SG,8,-.050,1984
Otis Thorpe,PF,9,.128,1984
Leon Wood,PG,10,.071,1984
Kevin Willis,PF,11,.102,1984
Tim McCormick,C,12,.099,1984
Jay Humphries,PG,13,.094,1984
Michael Cage,C,14,.120,1984
Terence Stansbury,C,15,.038,1984
John Stockton,PG,16,.209,1984
Jeff Turner,PF,17,.038,1984
Vern Fleming,PG,18,.101,1984
Bernard Thompson,SF,19,.056,1984
Tony Campbell,SF,20,.065,1984
Kenny Fields,SF,21,.074,1984
Tom Sewell,SG,22,-.201,1984
Earl Jones,C,23,-.090,1984
Michael Young,SF,24,.110,1984
Devin Durrant,SF,25,-0.012,1984
Victor Fleming,N/A,26,-.0,1984
Ron Anderson,SF,27,.077,1984
Cory Blackwell,SF,28,-0.081,1984
Stuart Gray,C,29,.046,1984
Steve Burtt,SG,30,0,1984
Allen Iverson,SG,1,.126,1996
Marcus Camby,C,2,.137,1996
Shareef Abdur-Rahim,PF,3,.118,1996
Stephon Marbury,PG,4,.117,1996
Ray Allen,SG,5,.150,1996
Antoine Walker,PF,6,.058,1996
Lorenzen Wright,C,7,.079,1996
Kerry Kittles,SG,8,.127,1996
Samaki Walker,PF,9,.089,1996
Erick Dampier,C,10,.105,1996
Todd Fuller,C,11,.041,1996
Vitaly Potapenko,C,12,.064,1996
Kobe Bryant,SG,13,.182,1996
Peja Stojakovic,SF,14,.147,1996
Steve Nash,PG,15,.164,1996
Tony Delk,PG,16,.080,1996
Jermaine O'Neal,C,17,.116,1996
John Wallace,SF,18,.050,1996
Walter McCarty,PF,19,.064,1996
Zydrunas Ilgauskas,C,20,.139,1996
Dontae' Jones,SF,21,-.175,1996
Roy Rogers,PF,22,.035,1996
Efthimi Rentzias,C,23,.058,1996
Derek Fisher,PG,24,.091,1996
Martin Muursepp,PF,25,.1,1996
Jerome Williams,PF,26,.143,1996
Brian Evans,SF,27,.076,1996
Priest Lauderdale,C,28,-0.074,1996
Travis Knight,C,29,.083,1996
Othella Harrington,PF,30,.080,1996
Lebron James,SF,1,.243,2003
Darko Milicic,C,2,.040,2003
Carmelo Anthony,SF,3,.138,2003
Chris Bosh,PF,4,.161,2003
Dwayne Wade,SG,5,.192,2003
Chris Kaman,C,6,.056,2003
Kirk Hinrich,PG,7,.099,2003
T.J. Ford,PG,8,.068,2003
Mike Sweetney,C,9,.103,2003
Jarvis Hayes,SF,10,.049,2003
Mickael Pietrus,SF,11,.079,2003
Nick Collison,C,12,.119,2003
Marcus Banks,PG,13,.057,2003
Luke Ridnour,PG,14,.081,2003
Reece Gaines,PG,15,-.049,2003
Troy Bell,PG,16,-.326,2003
Zarko Cabarkpa,PF,17,.035,2003
David West,PF,18,.140,2003
Sasha Pavlovic,SG,19,.038,2003
Dahntay Jones,SG,20,.049,2003
Boris Diaw,PF,21,.086,2003
Zoran Planinic,PG,22,.046,2003
Travis Outlaw,SF,23,.061,2003
Brian Cook,PF,24,.086,2003
Carlos Delfino,SF,25,.093,2003
Ndubi Ebi,SG,26,.051,2003
Kendrick Perkins,C,27,.086,2003
Leandro Barbosa,SG,28,.1,2003
Josh Howard,SF,29,.119,2003
